year,period,series_id,value
2020,M01,JTU000000000000000QUL,3520
2020,M02,JTU000000000000000QUL,2789
2020,M03,JTU000000000000000QUL,2612
2020,M04,JTU000000000000000QUL,2098
2020,M05,JTU000000000000000QUL,2330
2020,M06,JTU000000000000000QUL,2879
2020,M07,JTU000000000000000QUL,3634
2020,M08,JTU000000000000000QUL,3834
2020,M09,JTU000000000000000QUL,3453
2020,M10,JTU000000000000000QUL,3450
2020,M11,JTU000000000000000QUL,2758
2020,M12,JTU000000000000000QUL,2961
2021,M01,JTU000000000000000QUL,3291
2021,M02,JTU000000000000000QUL,2776
2021,M03,JTU000000000000000QUL,3296
2021,M04,JTU000000000000000QUL,4068
2021,M05,JTU000000000000000QUL,3774
2021,M06,JTU000000000000000QUL,4122
2021,M07,JTU000000000000000QUL,4536
2021,M08,JTU000000000000000QUL,5191
2021,M09,JTU000000000000000QUL,4621
2021,M10,JTU000000000000000QUL,4276
