year,period,series_id,value,total_quits
2019,M10,JTU000000000000000QUL,3527,3527000
2019,M11,JTU000000000000000QUL,2938,2938000
2019,M12,JTU000000000000000QUL,2982,2982000
2020,M01,JTU000000000000000QUL,3520,3520000
2020,M02,JTU000000000000000QUL,2789,2789000
2020,M03,JTU000000000000000QUL,2612,2612000
2020,M04,JTU000000000000000QUL,2098,2098000
2020,M05,JTU000000000000000QUL,2330,2330000
2020,M06,JTU000000000000000QUL,2879,2879000
2020,M07,JTU000000000000000QUL,3634,3634000
2020,M08,JTU000000000000000QUL,3834,3834000
2020,M09,JTU000000000000000QUL,3453,3453000
2020,M10,JTU000000000000000QUL,3450,3450000
2020,M11,JTU000000000000000QUL,2758,2758000
2020,M12,JTU000000000000000QUL,2961,2961000
2021,M01,JTU000000000000000QUL,3291,3291000
2021,M02,JTU000000000000000QUL,2776,2776000
2021,M03,JTU000000000000000QUL,3296,3296000
2021,M04,JTU000000000000000QUL,4068,4068000
2021,M05,JTU000000000000000QUL,3774,3774000
2021,M06,JTU000000000000000QUL,4122,4122000
2021,M07,JTU000000000000000QUL,4536,4536000
2021,M08,JTU000000000000000QUL,5191,5191000
2021,M09,JTU000000000000000QUL,4621,4621000
2021,M10,JTU000000000000000QUL,4276,4276000
